name,version,directory,repository,summary,from package.json,from license,from readme
@jest/types,24.5.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@jest/types,https://github.com/facebook/jest,MIT,MIT,MIT,
@puppet/react-components,5.0.0-alpha.18,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@puppet/react-components,https://github.com/puppetlabs/react-components,UNLICENSED,UNLICENSED,,
@puppet/socket.io-pouch,1.1.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@puppet/socket.io-pouch,http://github.com/ioannis.karasavvaidis/socket.io-pouch,Apache;Apache-2.0,Apache-2.0,Apache,
@storybook/addon-actions,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/addon-actions,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/addon-info,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/addon-info,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/addon-knobs,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/addon-knobs,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/addon-links,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/addon-links,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/addon-options,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/addon-options,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/addons,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/addons,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/channel-postmessage,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/channel-postmessage,(none),MIT,MIT,MIT,
@storybook/channels,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/channels,(none),MIT,MIT,MIT,
@storybook/client-logger,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/client-logger,(none),MIT,MIT,MIT,
@storybook/components,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/components,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/core,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/core,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/mantra-core,1.7.2,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/mantra-core,https://github.com/storybooks/mantra-core/,MIT,MIT,MIT,
@storybook/node-logger,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/node-logger,(none),MIT,MIT,MIT,
@storybook/podda,1.2.3,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/podda,https://github.com/arunoda/podda,MIT,MIT,MIT,
@storybook/react,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/react,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@storybook/react-komposer,2.0.4,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/react-komposer,https://github.com/storybooks/react-komposer/,MIT,MIT,MIT,
@storybook/react-simple-di,1.3.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/react-simple-di,https://github.com/storybooks/react-simple-di/,MIT,MIT,MIT,
@storybook/react-stubber,1.0.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/react-stubber,https://github.com/storybooks/react-stubber,MIT,MIT,MIT,
@storybook/ui,3.4.8,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@storybook/ui,https://github.com/storybooks/storybook,MIT,MIT,MIT,
@types/istanbul-lib-coverage,1.1.0,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@types/istanbul-lib-coverage,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/node,10.3.5,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@types/node,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/yargs,12.0.10,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/@types/yargs,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
abbrev,1.1.1,/Users/ioannis.karasavvaidis/go/src/github.com/puppetlabs/cloud-discovery/ui/node_modules/fsevents/node_modules/abbrev,(none),ISC;MIT,ISC,ISC;MIT,
